,NOSE_x,NOSE_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_INDEX_x,LEFT_INDEX_y,RIGHT_INDEX_x,RIGHT_INDEX_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,CENTER_HIP_x,CENTER_HIP_y,CENTER_SHOULDER_x,CENTER_SHOULDER_y,Angle_upper_arms,Angle_elbow_L,Angle_elbow_R,Angle_thighs,Angle_knee_L,Angle_knee_R,Angle_shoulder_L,Angle_shoulder_R,Angle_hip_L,Angle_hip_R,width,height,pose_num
10,193.78,116.02,167.54,134.18,178.29,91.17,169.22,169.99,182.84,55.23,174.74,202.46,186.10,22.70,180.43,211.93,188.70,11.27,109.60,100.26,112.09,77.45,103.99,153.68,63.65,50.88,109.63,206.16,19.79,22.93,129.55,215.10,2.17,18.81,110.84,88.86,172.91,112.68,170.10,6.96,1.49,112.76,12.13,3.75,113.68,76.22,105.00,7.76,216,233,0
11,212.27,80.79,189.05,100.57,195.11,70.80,187.07,124.22,192.55,45.35,188.68,145.39,194.62,19.44,189.82,152.64,197.54,11.36,147.31,80.62,147.10,66.51,148.20,119.33,104.19,59.65,145.08,155.78,66.47,51.52,162.75,162.76,55.24,46.60,147.20,73.57,192.08,85.68,169.46,9.11,10.34,100.40,6.21,3.08,100.33,69.13,106.43,6.02,300,168,0
12,36.33,101.67,53.41,94.32,54.39,130.43,54.15,65.89,54.22,160.62,48.33,40.80,51.89,184.70,45.30,31.95,49.20,192.56,103.58,88.37,102.49,106.32,148.24,87.29,102.99,145.39,187.69,80.89,99.19,189.58,203.18,78.16,79.48,198.51,103.03,97.35,53.90,112.38,178.84,14.54,5.21,90.65,7.83,5.64,71.50,107.34,15.62,106.28,225,225,0
13,25.57,90.57,42.73,74.80,50.95,109.87,44.37,47.11,53.97,137.38,41.76,21.00,54.47,163.99,39.41,12.42,50.37,169.48,101.17,71.00,97.90,89.91,141.48,57.72,99.47,126.48,179.21,50.03,99.97,166.19,190.20,44.77,82.69,174.17,99.53,80.46,46.84,92.33,170.34,9.09,5.17,105.76,6.69,1.74,73.91,96.44,5.52,100.24,275,183,0
14,21.23,115.03,44.27,84.64,43.11,120.37,51.72,54.53,43.30,147.73,52.42,25.04,39.84,175.84,51.56,15.62,33.32,180.63,100.67,89.86,95.81,110.01,142.84,86.24,98.98,153.62,183.69,83.41,102.05,197.15,201.66,82.65,83.81,204.61,98.24,99.93,43.69,102.51,165.70,12.54,7.42,90.75,0.95,0.12,73.40,92.30,2.21,88.55,231,218,0
15,202.15,121.42,181.27,133.89,193.51,94.46,180.08,158.84,187.03,64.67,174.53,184.09,190.00,33.51,173.00,191.29,192.51,23.72,126.03,110.94,123.78,92.94,127.85,150.76,79.03,78.31,131.91,199.77,28.28,65.07,153.26,209.06,16.19,67.41,124.91,101.94,187.39,114.18,164.97,9.64,17.73,110.72,2.12,3.49,98.33,66.64,103.69,7.02,232,217,0
16,136.12,181.47,118.82,179.35,125.37,151.25,120.66,203.43,124.51,129.76,126.10,225.64,128.18,106.84,130.99,230.49,129.60,99.22,79.74,156.95,78.09,143.56,82.18,191.24,47.90,130.04,81.92,227.17,18.44,116.87,100.84,233.01,9.77,110.72,78.91,150.25,122.10,165.30,177.92,9.39,11.39,118.19,4.49,0.03,113.59,68.49,113.29,4.90,169,299,0
17,72.84,78.90,89.11,64.50,92.50,97.30,88.77,37.43,90.96,126.96,88.87,13.95,90.24,154.62,87.71,6.91,83.42,157.86,140.18,61.10,134.89,77.54,176.54,46.31,138.61,116.40,211.56,31.22,141.41,151.96,226.03,38.64,125.98,159.22,137.53,69.32,90.80,80.90,176.34,0.93,1.46,106.67,1.18,0.95,76.78,106.88,8.21,98.46,268,188,0
18,210.34,75.27,193.39,93.62,195.82,64.08,192.17,115.15,197.36,41.10,193.62,137.65,199.44,18.22,196.59,142.34,201.40,10.74,154.07,89.75,146.06,73.71,158.11,121.76,111.05,77.07,156.14,156.57,76.37,81.34,169.98,163.34,66.01,80.31,150.06,81.73,194.60,78.85,179.39,6.94,1.32,91.70,10.43,1.53,83.06,97.56,93.48,1.78,284,177,0
19,217.98,94.20,202.45,109.12,206.68,81.96,200.81,130.70,205.48,55.46,197.69,153.82,205.89,29.72,199.87,158.77,208.71,22.08,159.95,84.77,160.64,69.37,159.38,120.46,123.64,58.48,159.95,157.69,89.64,46.78,174.40,165.82,78.26,46.55,160.29,77.07,204.57,95.54,173.04,3.33,3.50,105.49,1.78,2.60,108.28,64.76,111.73,6.25,259,194,0
20,202.85,79.17,189.22,89.82,191.49,62.66,194.17,111.68,190.57,40.71,199.30,132.51,192.18,19.44,202.10,138.24,195.59,12.91,147.39,70.96,147.33,56.84,148.25,104.26,113.21,44.28,148.39,137.57,80.38,29.88,162.88,141.16,74.07,24.20,147.36,63.90,190.35,76.24,169.63,1.06,6.74,111.69,1.24,3.47,118.78,71.58,107.50,4.20,314,160,0
21,88.50,95.19,101.44,78.80,105.97,111.06,102.58,54.11,102.29,136.39,102.28,30.70,97.05,160.02,101.56,22.54,93.37,167.02,150.97,69.40,147.98,87.21,185.94,59.60,148.07,123.67,218.73,52.13,147.48,163.59,236.62,50.94,127.92,171.50,149.48,78.30,103.71,94.93,174.36,3.37,4.23,105.50,2.80,1.00,67.40,118.24,4.31,109.81,275,183,0
22,114.77,108.43,124.71,84.95,130.38,110.87,121.46,65.17,130.29,130.12,117.41,46.31,127.79,148.36,114.70,40.01,125.06,153.83,165.06,79.82,163.23,94.16,195.54,73.54,166.62,122.37,223.76,67.79,163.12,153.99,233.92,64.40,150.99,160.01,164.14,86.99,127.55,97.91,170.38,2.75,7.54,94.78,0.12,13.17,82.73,106.89,4.98,99.76,275,183,0
23,80.94,71.56,98.48,57.24,94.03,90.31,101.89,29.21,96.14,116.55,100.10,2.80,94.88,144.32,101.63,-4.88,92.65,151.92,151.80,66.29,145.26,85.43,196.59,73.07,148.21,125.17,231.53,80.15,148.83,165.27,243.90,80.77,135.15,175.49,148.53,75.86,96.26,73.78,168.48,10.82,7.16,77.13,2.83,3.37,85.34,83.14,6.34,83.46,275,183,0
24,229.80,97.07,216.52,115.29,218.18,91.50,215.63,134.32,217.03,73.82,218.02,152.84,220.99,58.42,221.30,156.47,224.10,53.71,183.20,100.56,180.94,88.26,180.37,126.59,153.82,90.34,182.82,152.41,131.38,93.23,190.72,160.19,122.13,92.44,182.07,94.41,217.35,103.40,173.62,10.04,18.10,79.42,11.62,2.97,101.61,72.01,98.08,18.66,300,168,0
25,61.95,99.16,72.71,75.36,79.48,100.28,74.72,55.35,82.27,120.74,71.26,35.09,82.39,141.25,69.70,28.20,80.33,147.17,116.53,70.81,113.52,84.91,143.98,56.37,114.36,114.69,170.06,41.46,112.13,144.89,180.68,42.90,101.05,152.30,115.03,77.86,76.09,87.82,166.48,15.43,7.46,116.13,2.01,5.83,69.92,96.56,13.39,102.73,300,168,0
26,50.66,129.78,64.09,118.14,74.69,149.38,61.14,92.22,74.47,174.43,53.10,69.93,73.63,198.97,50.38,61.64,69.42,204.56,120.24,109.77,118.55,127.63,161.71,98.01,121.77,167.85,200.43,89.52,116.59,206.08,214.48,88.42,100.52,212.94,119.40,118.70,69.39,133.76,173.01,13.35,1.46,101.26,3.48,12.29,79.74,107.26,0.92,102.18,225,225,0
27,90.75,94.81,104.72,73.61,112.14,102.10,107.79,47.20,111.13,126.70,104.81,22.56,105.13,147.28,101.96,14.72,101.03,152.98,157.40,58.80,156.10,76.00,190.73,40.65,153.39,114.65,226.37,23.73,155.55,154.65,242.80,22.35,137.39,162.25,156.75,67.40,108.43,87.86,175.73,13.51,13.90,122.58,3.17,7.11,60.43,115.29,5.62,116.96,299,168,0
28,106.22,75.43,117.84,64.95,125.48,95.59,117.66,40.77,130.12,117.94,115.46,18.37,129.10,144.17,114.28,10.65,123.06,148.71,169.81,55.74,167.43,73.94,206.47,46.13,170.56,107.89,240.04,38.57,169.12,143.30,250.14,32.93,152.02,150.75,168.62,64.84,121.66,80.27,168.71,5.17,13.95,99.42,1.99,7.59,72.24,96.47,3.50,102.92,316,160,0
29,240.62,79.91,219.56,88.20,223.54,57.06,224.33,115.24,221.38,35.64,226.60,139.15,221.59,15.39,227.73,145.80,223.48,8.47,178.06,78.20,173.80,62.12,181.59,112.92,138.17,59.20,183.53,151.47,108.30,55.80,199.30,158.63,93.14,56.87,175.93,70.16,221.55,72.63,175.78,4.57,6.36,100.49,2.93,1.81,103.09,81.13,98.91,1.58,300,168,0
30,61.82,112.55,78.36,78.45,82.65,114.13,80.39,47.56,83.00,141.00,79.87,21.13,78.23,167.75,76.81,14.07,75.88,176.23,133.12,79.03,129.04,99.52,170.92,72.96,132.92,140.70,199.10,66.32,126.03,183.72,211.57,58.11,108.44,193.94,131.08,89.27,80.50,96.29,175.50,4.89,10.84,93.73,4.16,14.49,78.34,97.15,1.22,92.52,251,201,0
31,196.93,87.83,179.10,111.81,183.55,78.97,185.20,141.38,181.05,50.34,192.49,168.34,184.48,23.48,196.76,174.94,188.08,16.08,130.27,86.98,130.17,69.78,125.39,127.17,87.39,69.31,125.24,167.86,47.78,66.24,141.83,176.28,32.53,66.23,130.22,78.38,181.33,95.39,173.32,3.44,12.26,83.72,6.70,3.80,120.08,66.60,101.50,17.78,275,183,0
32,229.25,94.04,211.83,91.34,218.10,63.53,213.69,115.56,216.08,40.64,216.27,138.74,218.94,17.46,220.83,144.21,219.94,8.96,170.12,69.76,169.43,56.09,172.11,104.33,137.68,41.21,171.91,140.75,106.11,27.70,189.58,146.76,98.09,21.58,169.78,62.93,214.96,77.44,179.36,1.94,12.09,118.41,3.60,1.96,112.20,67.15,111.10,7.32,334,151,0
33,193.72,81.06,176.26,101.83,181.40,70.65,176.72,128.91,182.18,46.09,179.73,153.46,185.44,22.02,179.64,160.95,188.91,14.38,132.08,80.03,132.61,65.13,132.13,120.75,93.94,56.23,129.74,158.43,57.53,48.83,143.37,164.29,45.36,46.70,132.35,72.58,178.83,86.24,177.21,5.99,5.93,103.03,3.69,1.48,107.37,75.43,106.44,3.41,265,190,0
34,151.13,78.30,163.16,69.69,166.17,99.26,166.03,48.49,165.03,122.78,165.41,26.82,163.95,145.17,163.70,19.88,162.38,151.12,206.39,66.40,205.11,80.29,242.77,67.74,208.38,113.52,276.41,68.54,205.03,148.30,285.19,66.37,189.45,156.92,205.75,73.35,164.67,84.48,175.09,9.31,0.00,82.29,0.72,11.11,67.15,107.94,17.26,99.54,300,168,0
35,77.42,99.85,93.27,70.84,96.46,103.38,98.13,45.91,95.85,129.97,99.97,25.04,93.78,155.01,98.53,17.75,88.84,160.59,144.97,68.53,142.88,85.90,182.17,54.69,147.56,123.00,213.95,43.24,151.25,159.69,227.50,38.28,138.42,167.51,143.92,77.21,94.86,87.11,170.26,6.00,3.43,103.21,0.58,1.44,67.55,102.71,9.00,94.22,275,183,0
36,190.88,112.08,180.94,108.74,182.81,97.24,181.36,123.79,182.83,81.93,182.83,136.13,183.16,67.31,184.57,139.21,183.59,62.26,156.71,94.91,155.57,87.47,155.26,116.53,135.84,88.66,155.45,138.43,114.86,88.79,165.11,140.85,108.87,92.15,156.14,91.19,181.88,102.99,178.32,5.21,1.16,82.72,4.33,3.12,116.21,65.47,110.79,28.08,300,168,0
37,84.81,77.70,100.68,63.86,104.96,94.68,99.04,43.08,107.57,114.91,92.81,20.86,106.13,138.99,89.28,13.49,100.46,142.65,150.48,69.28,144.49,85.91,184.76,68.08,144.97,117.09,214.25,70.19,143.10,149.92,225.48,67.65,129.54,156.44,147.49,77.60,102.82,79.27,177.13,11.18,10.79,91.13,6.09,4.13,92.34,84.79,0.15,91.28,300,168,0
38,198.98,90.99,177.12,109.92,182.76,80.46,174.71,130.41,179.63,56.03,174.77,151.99,180.97,30.84,176.04,158.23,183.21,22.79,135.27,84.40,134.59,70.71,132.60,121.68,97.87,67.31,134.18,158.63,62.16,65.87,150.12,165.38,50.94,67.09,134.93,77.56,179.94,95.19,165.98,6.86,10.37,91.19,6.56,2.97,104.69,61.29,107.29,16.10,266,190,0
39,229.33,86.77,203.98,98.79,214.85,70.95,199.51,120.54,211.28,46.17,197.91,140.34,213.21,22.21,198.16,146.73,215.03,14.47,166.77,76.60,167.48,61.16,165.65,113.50,126.54,49.32,163.66,152.93,86.43,37.75,179.62,160.17,71.51,33.46,167.12,68.88,209.42,84.87,160.19,6.98,12.81,104.40,1.15,0.05,99.09,61.10,108.97,4.57,284,178,0
40,38.33,82.07,56.99,64.98,56.54,91.61,58.84,41.51,56.95,111.93,56.01,19.42,50.43,131.13,53.13,12.32,47.41,137.15,99.26,72.66,94.64,87.31,133.14,68.57,93.72,119.38,167.28,61.94,89.79,150.98,176.38,60.89,76.99,158.25,96.95,79.98,56.77,78.30,174.34,11.81,19.90,98.53,4.12,5.43,87.89,86.45,9.28,89.25,299,169,0
41,48.91,99.08,59.11,78.25,66.92,116.03,61.53,49.74,67.31,143.22,59.69,22.58,55.94,167.50,56.64,14.42,49.59,172.78,121.11,77.99,113.54,97.35,159.83,78.86,118.01,138.66,199.51,78.87,120.34,179.59,216.93,83.10,104.50,188.19,117.32,87.67,63.02,97.14,174.33,8.72,25.94,82.53,1.27,2.94,75.26,99.07,11.18,93.71,244,207,0
42,174.16,107.26,151.33,133.41,155.28,97.26,153.83,160.66,155.92,70.27,159.00,182.14,159.42,42.10,161.01,188.02,163.73,33.65,100.87,108.62,103.43,89.24,94.53,150.78,60.10,75.85,95.33,192.19,21.35,62.03,114.85,199.10,9.47,57.93,102.15,98.93,153.31,115.33,173.40,8.30,5.70,98.62,9.67,2.44,113.01,73.59,99.22,0.60,225,225,0
43,203.23,97.62,179.87,101.16,185.87,69.49,180.07,128.42,177.55,44.63,182.02,150.60,175.05,19.81,184.78,158.44,173.40,11.90,134.72,79.92,132.58,62.41,135.96,119.31,90.63,58.78,132.71,158.76,53.41,56.16,150.04,166.20,42.91,47.72,133.65,71.16,182.87,85.32,161.92,4.59,12.74,96.76,6.52,0.92,106.47,55.45,107.86,11.10,275,183,0
44,201.21,119.24,175.38,129.87,189.32,93.88,172.26,161.86,188.19,63.06,174.21,188.59,192.39,33.78,176.25,195.70,194.88,24.46,129.40,97.36,129.63,76.28,126.38,145.43,82.94,60.90,130.17,194.95,40.36,45.19,151.18,202.24,27.35,37.86,129.51,86.82,182.35,111.88,172.31,9.77,10.27,104.65,7.97,2.01,109.78,62.53,111.78,7.13,231,218,0
45,202.16,112.23,187.24,111.61,193.54,78.29,186.98,140.13,192.68,52.91,184.60,165.92,194.55,28.11,187.61,169.99,196.30,20.26,143.76,90.18,140.94,72.58,143.64,126.83,101.46,69.46,142.00,165.15,60.21,68.33,160.45,171.34,41.86,68.27,142.35,81.38,190.39,94.95,177.55,4.76,6.23,94.35,2.28,2.96,105.25,72.30,105.60,11.25,274,184,0
46,49.98,112.04,62.01,94.29,65.46,122.07,67.29,74.43,66.03,143.99,70.08,53.93,65.70,163.60,69.77,47.76,64.01,169.19,108.04,93.60,104.32,110.14,138.30,82.63,100.96,139.60,169.63,71.28,99.65,170.75,180.33,66.59,88.07,178.20,106.18,101.87,63.73,108.18,163.62,7.15,2.43,116.43,0.01,4.09,66.64,96.97,11.46,104.97,245,205,0
47,197.47,58.78,181.23,76.82,185.40,49.11,180.95,99.26,183.69,28.09,186.17,121.92,185.56,7.51,188.33,127.18,188.09,1.72,140.10,66.30,136.96,50.96,138.31,98.41,98.91,50.81,136.74,127.78,67.74,47.50,144.34,131.67,61.09,50.34,138.53,58.63,183.32,62.96,174.64,13.66,9.86,87.04,0.12,5.84,94.82,79.82,92.34,5.30,294,171,0
48,28.62,97.39,44.73,84.80,51.28,120.58,45.28,56.05,53.63,145.84,36.07,30.12,51.18,171.59,31.63,21.85,50.46,179.83,99.15,75.00,97.84,96.12,137.92,53.82,97.69,137.82,175.77,34.17,98.78,179.39,184.62,27.79,81.66,188.09,98.50,85.56,48.00,102.69,173.56,20.68,10.76,118.85,1.19,1.72,70.15,103.41,9.90,108.95,240,210,0
49,54.05,97.37,70.91,70.64,77.44,101.06,78.53,45.08,78.09,127.69,79.60,19.86,74.66,153.94,78.17,12.19,69.53,159.80,122.84,63.13,121.11,80.63,160.11,48.49,120.42,118.47,193.96,35.81,121.94,156.08,205.68,34.75,106.59,166.95,121.98,71.88,74.18,85.85,162.00,14.20,8.84,112.50,0.92,3.35,57.10,104.90,5.17,107.33,300,168,0
50,67.70,77.64,83.14,72.52,81.40,108.78,81.99,43.60,82.38,135.57,80.20,18.95,80.17,160.19,77.32,10.75,73.97,163.63,138.06,86.77,130.83,103.89,180.03,80.51,130.48,142.81,220.35,75.43,126.60,182.09,230.24,77.52,110.64,189.65,134.44,95.33,82.27,90.65,179.82,1.90,7.21,99.00,1.29,5.12,97.39,82.78,13.61,85.39,251,200,0
51,35.76,143.65,49.67,107.52,56.69,141.08,54.99,73.29,56.41,175.44,58.76,42.33,53.70,203.50,59.55,33.13,52.97,213.52,110.19,99.02,108.14,119.99,147.00,76.14,108.82,168.59,182.66,51.68,104.48,215.23,201.67,47.41,88.95,224.16,109.17,109.50,53.18,124.30,171.63,1.90,5.05,121.06,2.58,6.12,66.36,105.27,17.06,104.00,216,233,0
52,188.17,79.32,170.29,101.33,174.10,72.04,164.52,123.63,172.10,52.26,163.95,146.81,174.14,31.62,163.86,152.92,176.03,25.49,131.56,90.06,127.58,76.43,131.33,120.73,93.09,75.83,130.41,156.56,62.46,75.31,141.91,160.96,52.26,71.38,129.57,83.24,172.20,86.68,159.71,13.09,11.43,90.57,1.03,0.03,80.10,79.61,94.18,3.61,290,174,0
53,191.44,124.55,173.01,136.30,178.63,98.88,173.61,167.70,173.56,65.99,178.05,198.59,173.07,33.28,182.67,206.04,174.99,22.61,118.79,102.82,116.20,86.01,120.53,152.33,69.06,74.18,117.90,200.13,27.21,62.17,140.38,208.44,11.25,60.51,117.49,94.42,175.82,117.59,172.33,7.08,7.91,106.10,5.17,1.94,112.76,59.57,113.68,7.58,229,220,0
54,70.48,61.10,87.77,57.30,86.18,87.91,89.46,32.90,88.10,113.40,86.66,10.08,87.36,140.47,84.97,2.70,83.05,146.87,135.13,56.06,132.94,74.97,171.22,47.12,136.60,111.66,207.95,38.00,135.08,153.46,218.57,34.55,119.02,160.77,134.03,65.51,86.97,72.61,171.72,10.98,5.88,98.22,0.04,7.77,77.45,94.27,5.34,92.88,300,168,0
55,222.27,83.47,196.67,100.53,205.12,70.44,194.27,126.12,204.74,45.27,197.04,152.61,213.30,20.87,201.16,159.38,216.52,12.55,155.88,73.57,158.08,56.81,149.91,112.53,118.26,44.13,149.10,156.40,79.26,30.94,167.93,163.25,67.66,25.04,156.98,65.19,200.89,85.48,173.79,11.33,20.18,98.94,7.65,1.03,109.45,64.34,106.09,7.15,300,168,0
56,52.64,85.71,68.15,80.95,68.19,114.86,74.67,55.84,75.50,138.83,71.58,28.74,74.77,160.10,70.88,18.74,71.94,164.90,116.29,86.32,110.96,105.16,154.74,82.00,116.47,139.60,188.71,77.18,117.14,176.50,203.18,79.53,103.80,186.21,113.63,95.74,68.17,97.90,148.49,21.05,18.92,87.33,1.66,8.05,72.72,75.77,3.69,83.64,239,211,0
57,203.83,70.72,196.26,94.75,188.15,66.38,194.30,114.02,190.49,42.55,195.67,135.07,195.42,20.48,196.39,140.89,198.36,13.62,146.96,93.24,143.21,77.10,144.89,126.32,109.33,69.40,151.45,157.93,76.15,60.85,165.42,165.95,67.19,55.81,145.09,85.17,192.20,80.57,179.81,9.52,7.01,99.23,15.30,1.64,78.62,101.18,80.84,18.39,275,183,0
58,75.25,65.97,88.77,59.93,87.96,89.74,94.41,39.45,94.62,111.68,92.67,17.51,94.87,132.46,90.13,10.27,91.39,136.72,132.65,67.11,128.83,82.90,169.59,71.64,134.91,116.56,199.31,75.48,133.19,149.99,210.28,76.38,118.91,156.77,130.74,75.01,88.36,74.83,147.69,19.96,16.20,72.77,0.37,13.18,74.81,72.87,6.75,79.52,270,187,0
59,76.13,47.87,101.20,75.86,56.05,77.71,98.22,114.74,59.73,116.36,91.28,149.48,65.94,150.02,84.81,157.86,71.29,158.76,91.22,140.07,63.99,140.22,143.68,136.32,9.01,142.22,88.02,156.65,65.53,157.35,77.70,161.94,75.66,161.01,77.60,140.15,78.62,76.78,9.82,6.93,5.01,177.99,164.03,162.93,3.46,6.36,95.01,87.00,201,251,1
60,92.89,39.37,117.15,66.33,70.76,66.88,119.57,100.81,70.89,101.65,111.76,130.16,77.51,130.47,105.28,134.87,83.69,135.94,107.34,121.16,79.68,121.50,153.28,123.48,35.90,122.66,106.72,135.64,80.56,135.24,95.38,137.56,89.08,137.86,93.51,121.33,93.95,66.61,3.80,18.92,12.71,175.58,162.47,162.75,4.49,0.68,87.57,88.01,318,159,1
61,782.22,198.67,884.14,312.83,692.83,314.44,861.46,464.18,730.46,460.06,837.96,578.04,751.30,572.70,808.64,583.63,769.36,585.98,849.96,555.49,739.52,554.54,1069.14,556.69,513.63,555.10,831.89,606.27,749.84,613.70,750.96,596.71,781.68,625.28,794.74,555.02,788.49,313.63,23.02,3.13,4.02,179.55,167.88,165.93,10.01,13.01,88.20,91.34,1556,819,1
62,508.03,134.10,627.68,282.30,386.40,280.22,611.86,470.13,404.95,456.78,545.21,598.52,438.81,586.96,508.32,609.87,464.34,607.32,577.34,578.81,438.68,574.72,814.55,520.87,198.16,493.63,562.92,641.66,431.34,631.71,479.93,648.22,470.55,632.64,508.01,576.77,507.04,281.26,10.81,22.62,8.58,147.64,168.08,168.00,5.00,5.81,103.54,108.82,1024,682,1
